"","DATE","HOME_TEAM","AWAY_TEAM","WINNER","0","1"
"447","2014-12-27","MIL","ATL","AWAY",97,63
"448","2014-12-27","SAC","NYK","HOME",84,91
"449","2014-12-27","UTA","PHI","HOME",86,45
"450","2014-12-27","WAS","BOS","HOME",78,71
"451","2014-12-28","CLE","DET","AWAY",85,61
"452","2014-12-28","DAL","OKC","HOME",76,69
"453","2014-12-28","DEN","TOR","AWAY",95,80
"454","2014-12-28","LAL","PHX","AWAY",81,82
"455","2014-12-28","POR","NYK","HOME",91,58
"456","2014-12-28","SAS","HOU","HOME",64,62
"457","2014-12-29","BKN","SAC","HOME",77,72
"458","2014-12-29","CHA","MIL","AWAY",96,70
"459","2014-12-29","HOU","WAS","AWAY",69,69
"460","2014-12-29","IND","CHI","AWAY",89,58
"461","2014-12-29","LAC","UTA","HOME",92,71
"462","2014-12-29","MIA","ORL","AWAY",61,64
"463","2014-12-30","ATL","CLE","HOME",69,69
"464","2014-12-30","CHI","BKN","AWAY",82,59
"465","2014-12-30","DAL","WAS","HOME",65,64
"466","2014-12-30","DEN","LAL","AWAY",77,77
"467","2014-12-30","GSW","PHI","HOME",68,58
"468","2014-12-30","MEM","SAS","HOME",64,55
"469","2014-12-30","NOP","PHX","HOME",78,80
"470","2014-12-30","ORL","DET","AWAY",75,54
"471","2014-12-30","POR","TOR","HOME",106,76
"472","2014-12-30","UTA","MIN","HOME",73,71
"473","2014-12-31","BOS","SAC","HOME",91,65
"474","2014-12-31","CLE","MIL","AWAY",78,54
"475","2014-12-31","HOU","CHA","HOME",78,61
"476","2014-12-31","IND","MIA","HOME",70,57
"477","2014-12-31","LAC","NYK","HOME",82,60
"478","2014-12-31","OKC","PHX","HOME",86,64
"479","2014-12-31","SAS","NOP","HOME",89,62
"480","2015-01-01","CHI","DEN","HOME",99,71
"481","2015-01-01","MIN","SAC","AWAY",77,76
"482","2015-01-02","BOS","DAL","AWAY",84,66
"483","2015-01-02","CHA","CLE","AWAY",91,54
"484","2015-01-02","GSW","TOR","HOME",80,79
"485","2015-01-02","LAL","MEM","AWAY",72,74
"486","2015-01-02","MIL","IND","AWAY",92,72
"487","2015-01-02","NOP","HOU","HOME",66,64
"488","2015-01-02","NYK","DET","AWAY",72,53
"489","2015-01-02","OKC","WAS","HOME",78,68
"490","2015-01-02","ORL","BKN","AWAY",74,74
"491","2015-01-02","PHX","PHI","HOME",75,62
"492","2015-01-02","UTA","ATL","AWAY",93,60
"493","2015-01-03","CHI","BOS","HOME",104,71
"494","2015-01-03","DEN","MEM","HOME",64,66
"495","2015-01-03","HOU","MIA","HOME",60,53
"496","2015-01-03","LAC","PHI","HOME",67,63
"497","2015-01-03","MIN","UTA","AWAY",74,64
"498","2015-01-03","ORL","CHA","AWAY",91,66
"499","2015-01-03","POR","ATL","AWAY",88,79
"500","2015-01-03","SAS","WAS","HOME",72,69
